Composition,ZrB2,HfB2,TaB2,SiC,Ta,TaC,Mo,B4C,Si3N4,Ta5Si3,TaSi2,ZrO2,Mosi2,WC,WB,ZrSi2,CrB2,LaB6,La2O3,Gd2O3,HfSi2,C,HfC,BN,TiSi2,Sintering Method,Sintering Temperature ©,Sintering Pressure (Mpa),Sintering Time (min),Mean Grain Size (um),Relative Density (%),Oxidation Test,Temperature (C),Holding Time (min),Atmospheric Condition,Flow Rate (cm3/min),Oxide Thickness (um),Compostion/ Structure,Mass Gain (mg/cm2)
HfB2 - 15% SiC - 3% WB,0,82,,15,,,,,,,,,,,3,,,,,,,,,,,Spark Plasma Sintering,2100,32,9,,100,Furnace,1600,30,air,0,34,,
HfB2 - 15% SiC - 3% WB,0,82,,15,,,,,,,,,,,3,,,,,,,,,,,Spark Plasma Sintering,2100,32,9,,100,Furnace,1600,30,air,0,76,,
HfB2 - 15% SiC - 3% WB,0,82,,15,,,,,,,,,,,3,,,,,,,,,,,Spark Plasma Sintering,2100,32,9,,100,Furnace,1600,30,air,0,565,,
HfB2 - 20% SiC,0,80,,20,,,,,,,,,,,,,,,,,,,,,,Spark Plasma Sintering,2100,32,17,,99.51,Furnace,1600,60,air,0,20,,1.5
HfB2 - 20% SiC,0,80,,20,,,,,,,,,,,,,,,,,,,,,,Spark Plasma Sintering,2100,32,17,,99.51,Furnace,1600,60,air,0,25,,2.5
HfB2 - 20% SiC,0,80,,20,,,,,,,,,,,,,,,,,,,,,,Spark Plasma Sintering,2100,32,17,,99.51,Furnace,1600,60,air,0,50,,3
HfB2 - 20% SiC,0,80,,20,,,,,,,,,,,,,,,,,,,,,,Spark Plasma Sintering,2100,32,17,,99.51,Furnace,1600,60,air,0,53,,3.2
HfB2 - 20% SiC,0,80,,20,,,,,,,,,,,,,,,,,,,,,,Spark Plasma Sintering,2100,32,17,,99.51,Furnace,1600,60,air,0,65,,4
HfB2 - 20% SiC,0,80,,20,,,,,,,,,,,,,,,,,,,,,,Spark Plasma Sintering,2100,32,17,,99.51,Furnace,1600,60,air,0,270,,8
HfB2 - 20% SiC,0,80,,20,,,,,,,,,,,,,,,,,,,,,,Spark Plasma Sintering,2100,32,17,,99.51,Furnace,1600,60,air,0,,,23
ZrB2 - 10% SiC,90,90,,10,,,,,,,,,,,,,,,,,,,,,,hot pressed,2000,30,60,,100,Furnace,1600,60,air,,image,,
ZrB2 - 20% SiC,80,,,20,,,,,,,,,,,,,,,,,,,,,,hot pressed,2000,30,60,,98.2,Furnace,1600,60,air,,image,,
ZrB2 - 30% SiC,70,,,30,,,,,,,,,,,,,,,,,,,,,,hot pressed,2000,30,60,,100,Furnace,1600,60,air,,image,,
ZrB2 - 20% SiC - 2.5wt.% Ta,77.5,,,20,2.5,,,,,,,,,,,,,,,,,,,,,Spark Plasma Sintering,1900,50,3,,99.11,Furnace,1600,600,air,0,401,,22.91
ZrB2 - 20% SiC - 5wt.% Ta,75,,,20,5,,,,,,,,,,,,,,,,,,,,,Spark Plasma Sintering,1900,50,3,,99.11,Furnace,1600,600,air,0,384,,19.15
ZrB2 - 20% SiC - 10wt.% Ta,70,,,20,10,,,,,,,,,,,,,,,,,,,,,Spark Plasma Sintering,1900,50,3,,99.63,Furnace,1600,600,air,0,195,,18.77
TaB2 - 27.9% SiC,0,,72.1,27.9,,,,,,,,,,,,,,,,,,,,,,Spark Plasma Sintering,1800,20,10,,96,Furnace,1600,240,air,1000,,,3
ZrB2 - 8.9% B4C - 10.7% SiC,80.4,,,10.7,,,,8.9,,,,,,,,,,,,,,,,,,hot pressed,1800,207,30,,95.75,Furnace,1600,100,air,0,,,
ZrB2 - 8.6% B4C - 13.8% SiC,77.6,,,13.8,,,,8.6,,,,,,,,,,,,,,,,,,hot pressed,1800,207,30,,95.43,Furnace,1600,100,air,0,,,
ZrB2 - 8.3% B4C - 16.7% SiC,75,,,16.7,,,,8.3,,,,,,,,,,,,,,,,,,hot pressed,1800,207,30,,96.15,Furnace,1600,100,air,0,,,
ZrB2 - 8.1% B4C - 19.3% SiC,72.6,,,19.3,,,,8.1,,,,,,,,,,,,,,,,,,hot pressed,1800,207,30,,96.77,Furnace,1600,100,air,0,,,
ZrB2 - 7.8% B4C - 21.9% SiC,70.3,,,21.9,,,,7.8,,,,,,,,,,,,,,,,,,hot pressed,1800,207,30,,96.67,Furnace,1600,100,air,0,,,
ZrB2 - 7.2% B4C - 28.1% SiC,64.7,,,28.1,,,,7.2,,,,,,,,,,,,,,,,,,hot pressed,1800,207,30,,94.77,Furnace,1600,100,air,0,,,
ZrB2 - 6.5% B4C - 34.7% SiC,58.8,,,34.7,,,,6.5,,,,,,,,,,,,,,,,,,hot pressed,1800,207,30,,95.67,Furnace,1600,100,air,0,,,
ZrB2 - 7.3% B4C - 20.5% SiC - 7% TaB2,65.2,,7,20.5,,,,7.3,,,,,,,,,,,,,,,,,,hot pressed,1800,207,30,,96.01,Furnace,1600,100,air,0,,,
ZrB2 - 7.1% B4C - 20.2% SiC- 3.5% TaB2 - 5% TaSi2,64.2,,3.5,20.2,,,,7.1,,,5,,,,,,,,,,,,,,,hot pressed,1800,207,30,,95.27,Furnace,1600,100,air,0,,,
ZrB2 - 7% B4C - 19.9% SiC- 9.8% TaSi2,63.3,,,19.9,,,,7,,,9.8,,,,,,,,,,,,,,,hot pressed,1800,207,30,,94.47,Furnace,1627,100,air,0,,,
ZrB2 - 7.3% B4C - 20.5% SiC- 14.1% TaB2,58.1,,14.1,20.5,,,,7.3,,,,,,,,,,,,,,,,,,hot pressed,1800,207,30,,97.98,Furnace,1627,100,air,0,,,
HfB2 - 22.1% SiC - 5.9% HfC,0,72,,22.1,,,,,,,,,,,,,,,,,,,5.9,,,hot pressed,1900,50,50,,99.2,Furnace,1627,1200,air,50,,,0.35
HfB2 - 22.1% SiC - 5.9% HfC,0,72,,22.1,,,,,,,,,,,,,,,,,,,5.9,,,hot pressed,1900,50,50,,99.2,Furnace,1627,10,air,50,,,1.6
ZrB2 - 22.4% SiC,77.6,,,22.4,,,,,,,,,,,,,,,,,,,,,,hot pressed,1650,60,120,,97.9,Furnace,1627,10,air,0,45,,
ZrB2 - 15% SiC,85,,,15,,,,,,,,,,,,,,,,,,,,,,hot pressed,1820,30,15,,99,Furnace,1627,1200,air,20,50,,3.43
ZrB2 - 15% SiC - 10% HfB2,75,10,,15,,,,,,,,,,,,,,,,,,,,,,hot pressed,1920,40,45,,98.2,Furnace,1627,1200,air,20,100,,4.88
ZrB2 - 20% SiC,80,,,20,,,,,,,,,,,,,,,,,,,,,,Spark Plasma Sintering,1950,50,4,,99.1,Furnace,1700,60,air,0,45,,4.54
ZrB2 - 20% SiC - 2wt.% La2O3,78,,,20,,,,,,,,,,,,,,,2,,,,,,,Spark Plasma Sintering,1950,50,3,,99.6,Furnace,1700,60,air,0,28,,2.18
HfB2 - 20% SiC,0,80,,20,,,,,,,,,,,,,,,,,,,,,,Spark Plasma Sintering,2000,50,4,,99.9,Furnace,1700,60,air,0,12,,0.6
HfB2 - 20% SiC - 2wt.% La2O3,0,78,,20,,,,,,,,,,,,,,,2,,,,,,,Spark Plasma Sintering,2000,50,3,,99.7,Furnace,1700,60,air,0,36,,1.97
ZrB2 - 20% SiC ,80,,,20,,,,,,,,,,,,,,,,,,,,,,Spark Plasma Sintering,Ref,,,,,Furnace,1700,--,air,,,,
ZrB2 - 20% SiC - 2wt.% La2O3,78,,,20,,,,,,,,,,,,,,,2,,,,,,,Spark Plasma Sintering,Ref,,,,,Furnace,1700,--,air,,,,
HfB2 - 20% SiC,0,80,,20,,,,,,,,,,,,,,,,,,,,,,Spark Plasma Sintering,Ref,,,,,Furnace,1700,--,air,,,,
HfB2 - 20% SiC - 2wt.% La2O3,0,78,,20,,,,,,,,,,,,,,,2,,,,,,,Spark Plasma Sintering,Ref,,,,,Furnace,1700,--,air,,,,
ZrB2 - 20% SiC ,80,,,20,,,,,,,,,,,,,,,,,,,,,,Spark Plasma Sintering,Ref,,,,,Furnace,1800,--,air,,,,
ZrB2 - 20% SiC - 2wt.% La2O3,78,,,20,,,,,,,,,,,,,,,2,,,,,,,Spark Plasma Sintering,Ref,,,,,Furnace,1800,--,air,,,,
HfB2 - 20% SiC,0,80,,20,,,,,,,,,,,,,,,,,,,,,,Spark Plasma Sintering,Ref,,,,,Furnace,1800,--,air,,,,
HfB2 - 20% SiC - 2wt.% La2O3,0,78,,20,,,,,,,,,,,,,,,2,,,,,,,Spark Plasma Sintering,Ref,,,,,Furnace,1800,--,air,,,,
ZrB2 - 20% SiC ,80,,,20,,,,,,,,,,,,,,,,,,,,,,Spark Plasma Sintering,Ref,,,,,Furnace,1800,--,air,,,,
ZrB2 - 20% SiC - 2wt.% La2O3,78,,,20,,,,,,,,,,,,,,,2,,,,,,,Spark Plasma Sintering,Ref,,,,,Furnace,1800,--,air,,,,
HfB2 - 20% SiC,0,80,,20,,,,,,,,,,,,,,,,,,,,,,Spark Plasma Sintering,Ref,,,,,Furnace,1800,--,air,,,,
HfB2 - 20% SiC - 2wt.% La2O3,0,78,,20,,,,,,,,,,,,,,,2,,,,,,,Spark Plasma Sintering,Ref,,,,,Furnace,1800,--,air,,,,
ZrB2 - 10% SiC,90,,,10,,,,,,,,,,,,,,,,,,,,,,hot pressed,1900,50,20,,100,Furnace,1800,1200,air,0,205,,4.8
ZrB2 - 20% SiC,80,,,20,,,,,,,,,,,,,,,,,,,,,,hot pressed,2000,70,120,,95.5,Furnace,1800,100,Air,0,image,,4
HfB2 - 20% SiC,0,80,,20,,,,,,,,,,,,,,,,,,,,,,hot pressed,2000,70,120,,97,Furnace,1800,100,Air,0,,,2
ZrB2 - 20% SiC - 20% TaSi2,50,,,30,,,,,,,20,,,,,,,,,,,,,,,hot pressed,1600,70,120,,97.7,Furnace,1800,100,Air,0,image,,1
ZrB2 - 33% SiC,67,,,33,,,,,,,,,,,,,,,,,,,,,,hot pressed,2000,70,120,,97.5,Furnace,1800,100,Air,0,,,5
ZrB2 - 20% SiC - 20% TaC,60,,,20,,20,,,,,,,,,,,,,,,,,,,,hot pressed,2000,70,120,,98.9,Furnace,1900,100,Air,0,,,21
HfB2 - 20% SiC - 20% TaSi2,0,60,,20,,,,,,,20,,,,,,,,,,,,,,,hot pressed,1700,70,120,,100,Furnace,1900,100,Air,0,,,2.5
ZrB2 - 20% SiC,80,,,20,,,,,,,,,,,,,,,,,,,,,,hot pressed,,,,,100,Furnace,1900,100,,,30,,2
ZrB2 - 20% SiC,80,,,20,,,,,,,,,,,,,,,,,,,,,,hot pressed,,,,,100,Furnace,1900,100,,,150,,12.9
ZrB2 - 14% SiC - 30% C,56,,,14,,,,,,,,,,,,,,,,,,30,,,,hot pressed,,,,,98.2,Furnace,1900,100,,,,,5.7
ZrB2 - 35% SCS-9a - 20% SiC,45,,,55,,,,,,,,,,,,,,,,,,,,,,hot pressed,,,,,99.9,Furnace,1900,100,,,,,-2.2
ZrB2 - 30% SiC,70,,,30,,,,,,,,,,,,,,,,,,,,,,hot pressed,1950,32,45,,98,Furnace,2000,120,CO-CO2,0,37,,
ZrB2 - 30% SiC,70,,,30,,,,,,,,,,,,,,,,,,,,,,hot pressed,1950,32,45,,98,Furnace,2000,240,CO-CO2,0,80,,
ZrB2 - 30% SiC,70,,,30,,,,,,,,,,,,,,,,,,,,,,hot pressed,1950,32,45,,98,Furnace,2000,480,CO-CO2,0,115,,
ZrB2 - 30% SiC,70,,,30,,,,,,,,,,,,,,,,,,,,,,hot pressed,1950,32,45,,98.47,Furnace,2000,30,Air,0,0.5,,0.3
ZrB2 - 30% SiC,70,,,30,,,,,,,,,,,,,,,,,,,,,,hot pressed,1950,32,45,,98.47,Furnace,2000,30,Air,0,8,"(1)B2O3 ?2, (2) ZrO2?6, unoxidized SiC",0.9
ZrB2 - 30% SiC,70,,,30,,,,,,,,,,,,,,,,,,,,,,hot pressed,1950,32,45,,98.47,Furnace,2000,30,Air,0,image,image,1.4
ZrB2 - 30% SiC,70,,,30,,,,,,,,,,,,,,,,,,,,,,hot pressed,1950,32,45,,98.47,Furnace,2000,30,Air,0,image,image,1.5
ZrB2 - 30% SiC,70,,,30,,,,,,,,,,,,,,,,,,,,,,hot pressed,1950,32,45,,98.47,Furnace,2000,30,Air,0,image,image,1.7
